# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	10332	11609	+	LCCHNM_00055	tilS	tRNA(Ile)-lysidine synthase	COG:COG0037, COG:J, EC:6.3.4.19, GO:0005524, GO:0005737, GO:0006400, GO:0016879, KEGG:K04075, SO:0001217, UniRef:UniRef50_Q04N53, UniRef:UniRef90_Q04N53
contig_1	cds	11614	12156	+	LCCHNM_00060	hpt	hypoxanthine phosphoribosyltransferase	COG:COG0634, COG:F, EC:2.4.2.8, GO:0000166, GO:0000287, GO:0004422, GO:0005829, GO:0006166, GO:0006178, GO:0032263, GO:0032264, GO:0046100, GO:0052657, SO:0001217, UniParc:UPI0021B63E02, UniRef:UniRef100_UPI0021B63E02, UniRef:UniRef50_Q8DWM8, UniRef:UniRef90_Q97TC4
contig_1	cds	12172	14130	+	LCCHNM_00065	ftsH	ATP-dependent zinc metalloprotease FtsH	COG:COG0465, COG:O, EC:3.4.24.-, GO:0004176, GO:0004222, GO:0005524, GO:0005886, GO:0006508, GO:0008270, GO:0016887, GO:0030163, SO:0001217, UniParc:UPI0021B7DCAF, UniRef:UniRef100_UPI0021B7DCAF, UniRef:UniRef50_Q83XX3, UniRef:UniRef90_O69076
contig_1	cds	14251	14730	+	LCCHNM_00070		Competence-specific global transcription modulator	SO:0001217, UniRef:UniRef50_A0A0F2DAF0, UniRef:UniRef90_A0A0F2DAF0
contig_1	tRNA	14824	14895	+	LCCHNM_00075	trnE	tRNA-Glu(ttc)	SO:0000259
contig_1	rRNA	15137	16682	+	LCCHNM_00080	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
contig_1	tRNA	16734	16806	+	LCCHNM_00085	trnA	tRNA-Ala(tgc)	SO:0000254
contig_1	rRNA	16931	19832	+	LCCHNM_00090	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_1	rRNA	19909	20024	+	LCCHNM_00095	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_1	tRNA	20030	20103	+	LCCHNM_00100	trnN	tRNA-Asn(gtt)	SO:0000257
contig_1	ncRNA	20459	20564	+	LCCHNM_00105	Srn266	Streptococcus RNA 266	RFAM:RF02822, SO:0000655
contig_1	cds	20781	21017	+	LCCHNM_00110	comW	sigma(X)-activator ComW	SO:0001217, UniRef:UniRef50_D3H631, UniRef:UniRef90_F9HKV3
contig_1	cds	21206	22534	+	LCCHNM_00115	purA	adenylosuccinate synthase	COG:COG0104, COG:F, EC:6.3.4.4, GO:0000287, GO:0004019, GO:0005525, GO:0005737, GO:0044208, GO:0046040, SO:0001217, UniParc:UPI00017233A7, UniRef:UniRef100_A0A0T7ZH26, UniRef:UniRef50_P29726, UniRef:UniRef90_Q04N48
contig_1	ncRNA	22581	22678	+	LCCHNM_00120	csRNA	Cia-dependent small RNA csRNA1	RFAM:RF02379, SO:0000655
contig_1	cds	22735	23202	+	LCCHNM_00125	tadA	tRNA adenosine(34) deaminase TadA	COG:COG0590, COG:J, SO:0001217, UniRef:UniRef50_A0A0R1KAD6, UniRef:UniRef90_F2QG82
contig_1	ncRNA	23235	23332	+	LCCHNM_00130	Bacteria_small_SRP	Bacterial small signal recognition particle RNA	RFAM:RF00169, SO:0000655
contig_1	cds	23389	23832	+	LCCHNM_00135	dut	dUTP diphosphatase	COG:COG0756, COG:FV, SO:0001217, UniRef:UniRef50_A3CQS3, UniRef:UniRef90_A0A0T8UHK3
contig_1	cds	23792	24373	+	LCCHNM_00140		Phosphoglycerate mutase	SO:0001217, UniRef:UniRef50_G0IAF4, UniRef:UniRef90_S7XCB2
contig_1	cds	24525	25748	+	LCCHNM_00145	radA	DNA repair protein RadA	COG:COG1066, COG:L, SO:0001217, UniRef:UniRef50_Q8DRP0, UniRef:UniRef90_I0SNS9
contig_1	cds	25821	26318	+	LCCHNM_00150	cynT	Carbonic anhydrase	COG:COG0288, COG:P, RefSeq:WP_004237611.1, SO:0001217, UniParc:UPI0001E544D7, UniRef:UniRef100_A0A0T7ZH15, UniRef:UniRef50_A0A2U2M0G5, UniRef:UniRef90_Q8DRN9
contig_1	cds	26343	27158	+	LCCHNM_00155	prsW	PrsW family glutamic-type intramembrane protease	EC:3.4.-.-, KEGG:K24131, SO:0001217, UniRef:UniRef50_A3CL21, UniRef:UniRef90_UPI0021B6C6E3
contig_1	cds	27304	28272	+	LCCHNM_00160	prs1	ribose-phosphate diphosphokinase	COG:COG0462, COG:F, EC:2.7.6.1, GO:0000287, GO:0002189, GO:0004749, GO:0005524, GO:0005737, GO:0006015, GO:0006164, GO:0009156, GO:0016301, GO:0016310, RefSeq:WP_000010168.1, SO:0001217, UniParc:UPI0001C4A4C1, UniRef:UniRef100_A0A081SBC8, UniRef:UniRef50_Q82ZA5, UniRef:UniRef90_P65239
contig_1	cds	28538	29161	+	LCCHNM_00165	abpA	amylase-binding adhesin AbpA	SO:0001217, UniRef:UniRef50_A0A1F0BCA0, UniRef:UniRef90_A0A3R9KF98
contig_1	cds	29236	30066	+	LCCHNM_00170	srtB	class B sortase, LPKTxAVK-specific	EC:3.4.22.71, KEGG:K08600, SO:0001217, UniRef:UniRef50_A0A139MYL1, UniRef:UniRef90_A0A3R9KJ79
contig_1	cds	30587	30946	+	LCCHNM_00175		hypothetical protein	
contig_1	cds	30897	33560	+	LCCHNM_00180		Sialidase A	SO:0001217, UniRef:UniRef50_A0A3R9J1C3
contig_1	cds	33760	35733	+	LCCHNM_00185		Cyclic-di-AMP phosphodiesterase	EC:3.1.4.59, KEGG:K22927, SO:0001217, UniRef:UniRef50_S3B325, UniRef:UniRef90_A0A3R9KBX4
contig_1	cds	35730	36182	+	LCCHNM_00190	rplI	50S ribosomal protein L9	COG:COG0359, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:1990904, KEGG:K02939, RefSeq:WP_000864214.1, SO:0001217, UniParc:UPI0001F89BD0, UniRef:UniRef100_A0A1S9ZN04, UniRef:UniRef50_P37437, UniRef:UniRef90_Q04HX2
contig_1	cds	36226	37578	+	LCCHNM_00195	dnaB	replicative DNA helicase	COG:COG0305, COG:L, SO:0001217, UniRef:UniRef50_A0A0G9GJB4, UniRef:UniRef90_A0A062WMW9
contig_1	cds	37580	37846	+	LCCHNM_00200		DUF1021 domain-containing protein	COG:COG4466, COG:S, RefSeq:WP_001278169.1, SO:0001217, UniParc:UPI0001C4A764, UniRef:UniRef100_A0A0U0EEU3, UniRef:UniRef50_A0A7G1JR12, UniRef:UniRef90_E8K1T4
contig_1	cds	37935	38906	+	LCCHNM_00205		Choline binding protein CbpD, amidase	SO:0001217, UniRef:UniRef50_A0A0U0EEY0
contig_1	cds	39381	39671	+	LCCHNM_00210	yqgV	Thiamin-binding stress-response protein YqgV, UPF0045 family	COG:COG0011, COG:H, SO:0001217, UniRef:UniRef50_F2QG17, UniRef:UniRef90_F2QG17
contig_1	cds	39634	40392	+	LCCHNM_00215	tauC	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	COG:COG0600, COG:P, SO:0001217, UniRef:UniRef50_K8MID3, UniRef:UniRef90_S3A061
contig_1	cds	40430	41401	+	LCCHNM_00220		NMT1 domain-containing protein	SO:0001217, UniRef:UniRef50_S3AJS7
contig_1	cds	41436	42164	+	LCCHNM_00225	tauB	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	COG:COG1116, COG:P, RefSeq:WP_023936794.1, SO:0001217, UniParc:UPI0003D2FEC2, UniRef:UniRef100_A0A0E2P4K4, UniRef:UniRef50_A0A0F3HQ93, UniRef:UniRef90_A0A062WPX2
contig_1	cds	42322	43488	-	LCCHNM_00230		Integrase	RefSeq:WP_173304095.1, SO:0001217, UniParc:UPI00156612A9, UniRef:UniRef100_UPI00156612A9, UniRef:UniRef50_A0A4D5ZV57, UniRef:UniRef90_A0A4D5ZKL0
contig_1	cds	43681	44655	-	LCCHNM_00235		Abi family protein	SO:0001217, UniRef:UniRef50_A0A4D5ZJE9, UniRef:UniRef90_A0A4D5ZJE9
contig_1	cds	45070	45609	-	LCCHNM_00240		Lipoprotein	SO:0001217, UniRef:UniRef50_I0T428
contig_1	cds	45708	45926	-	LCCHNM_00245		DUF4177 domain-containing protein	SO:0001217, UniRef:UniRef50_A1R9D3
contig_1	cds	45932	46477	-	LCCHNM_00250		HTH cro/C1-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A139Q4T9, UniRef:UniRef90_E1LNX3
contig_1	cds	46991	47593	+	LCCHNM_00255		Phage protein	SO:0001217, UniRef:UniRef50_A0A3A4SJB9, UniRef:UniRef90_A0A178K5V9
contig_1	cds	47605	47865	+	LCCHNM_00260		Phage protein	RefSeq:WP_140833965.1, SO:0001217, UniParc:UPI001125C78B, UniRef:UniRef100_A0A501VTZ4, UniRef:UniRef50_A0A8B6L762, UniRef:UniRef90_I0T432
contig_1	cds	48189	48494	+	LCCHNM_00265		Phage protein	SO:0001217, UniRef:UniRef50_I0T425, UniRef:UniRef90_A0A150NP34
contig_1	cds	48451	48654	+	LCCHNM_00270		Glycerate kinase	SO:0001217, UniRef:UniRef50_A0A4D5ZQA6, UniRef:UniRef90_UPI0021B72F8E
contig_1	cds	48656	48865	+	LCCHNM_00275		Phage protein	SO:0001217, UniRef:UniRef50_A0A2N6PMH3, UniRef:UniRef90_UPI000534403A
contig_1	cds	48867	49127	+	LCCHNM_00280		Phage protein	SO:0001217, UniRef:UniRef50_I0T430
contig_1	cds	49124	49987	+	LCCHNM_00285		Replication protein	SO:0001217, UniRef:UniRef50_I0T435, UniRef:UniRef90_I0T435
contig_1	cds	49999	50844	+	LCCHNM_00290		AAA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0F2D744, UniRef:UniRef90_A0A0F2D744
contig_1	cds	50850	51005	+	LCCHNM_00295		DUF2292 domain-containing protein	RefSeq:WP_261070744.1, SO:0001217, UniParc:UPI00205BFB0E, UniRef:UniRef100_UPI00205BFB0E, UniRef:UniRef50_A0A081QJ94, UniRef:UniRef90_A0A081QJ94
contig_1	cds	51094	51288	+	LCCHNM_00300		hypothetical protein	RefSeq:WP_261070745.1, SO:0001217, UniParc:UPI00205C0433, UniRef:UniRef100_UPI00205C0433, UniRef:UniRef50_A0A081Q467, UniRef:UniRef90_A0A081Q467
contig_1	cds	51373	52224	+	LCCHNM_00305		phage major capsid protein	RefSeq:WP_261070746.1, SO:0001217, UniParc:UPI00204B8C9E, UniRef:UniRef100_UPI00204B8C9E, UniRef:UniRef50_A0A4D5ZV81, UniRef:UniRef90_A0A4D5ZU78
contig_1	cds	52235	52783	+	LCCHNM_00310		DUF1351 domain-containing protein	SO:0001217, UniRef:UniRef50_I0T437, UniRef:UniRef90_A0A4D5ZUH6
contig_1	cds	53142	53552	+	LCCHNM_00315		Transcriptional regulator	RefSeq:WP_261070748.1, SO:0001217, UniParc:UPI002064C620, UniRef:UniRef100_UPI0021B787A7, UniRef:UniRef50_I0T426, UniRef:UniRef90_I0SEP8
contig_1	cds	53925	54521	+	LCCHNM_00320		RES domain-containing protein	RefSeq:WP_261070749.1, SO:0001217, UniParc:UPI00206B1A38, UniRef:UniRef100_UPI00206B1A38, UniRef:UniRef50_A0A139Q5K0, UniRef:UniRef90_UPI00206B1A38
contig_1	cds	54511	54777	+	LCCHNM_00325		Phage protein	RefSeq:WP_261070750.1, SO:0001217, UniParc:UPI00206CB4B7, UniRef:UniRef100_UPI00206CB4B7, UniRef:UniRef50_A0A139Q5M2, UniRef:UniRef90_UPI00206CB4B7
contig_1	cds	54777	55232	+	LCCHNM_00330	secB	protein-export chaperone SecB	RefSeq:WP_261070751.1, SO:0001217, UniParc:UPI00206665BB, UniRef:UniRef100_UPI00206665BB, UniRef:UniRef50_A0A2I5KHT8, UniRef:UniRef90_UPI001CBF433E
contig_1	cds	55539	55997	+	LCCHNM_00335	ctsR	Transcriptional regulator CtsR	COG:COG4463, COG:K, RefSeq:WP_001211265.1, SO:0001217, UniParc:UPI0001E53C11, UniRef:UniRef100_A0A081PMZ0, UniRef:UniRef50_B2INL4, UniRef:UniRef90_B2INL4
contig_1	cds	55999	58431	+	LCCHNM_00340	clpA	ATP-dependent Clp protease, ATP-binding subunit ClpA	COG:COG0542, COG:O, KEGG:K03708, SO:0001217, UniRef:UniRef50_A0A3S4NC88, UniRef:UniRef90_A0A0B7M4F0
contig_1	cds	58579	59637	+	LCCHNM_00345	nadR	Bifunctional NadR protein	SO:0001217, UniRef:UniRef50_D3HBN0, UniRef:UniRef90_D3HBN0
contig_1	cds	59647	60426	+	LCCHNM_00350	pnuC	nicotinamide riboside transporter PnuC	SO:0001217, UniRef:UniRef50_A0A1S0ZE49, UniRef:UniRef90_A0A1S0ZE49
contig_1	cds	60428	61201	+	LCCHNM_00355		Nudix hydrolase domain-containing protein	SO:0001217, UniRef:UniRef50_F2QG07, UniRef:UniRef90_F2QG07
contig_1	cds	61275	61505	-	LCCHNM_00360		Cytochrome D ubiquinol oxidase subunit I	SO:0001217, UniRef:UniRef50_A0A081SA07, UniRef:UniRef90_A0A081SA07
contig_1	cds	61784	62476	+	LCCHNM_00365		Lipoprotein	SO:0001217, UniRef:UniRef50_D3HBM6
contig_1	cds	62546	63097	-	LCCHNM_00370		Cysteine hydrolase	SO:0001217, UniRef:UniRef50_A0A448A5B6, UniRef:UniRef90_A0A1X1JHD9
contig_1	cds	63099	64079	-	LCCHNM_00375	dusB	tRNA dihydrouridine synthase DusB	COG:COG0042, COG:J, EC:1.-.-.-, KEGG:K05540, RefSeq:WP_000183308.1, SO:0001217, UniParc:UPI0001DF7641, UniRef:UniRef100_A0A0T8WE42, UniRef:UniRef50_A0A1A9E382, UniRef:UniRef90_A0A0F5MMH1
contig_1	cds	64066	65088	-	LCCHNM_00380	hslO	Hsp33 family molecular chaperone HslO	SO:0001217, UniRef:UniRef50_Q9CE86, UniRef:UniRef90_D3HBM3
contig_1	cds	65121	65978	+	LCCHNM_00385		M protein trans-acting positive regulator	SO:0001217, UniRef:UniRef50_F9PDU8
contig_1	cds	65963	66529	+	LCCHNM_00390		(pseudo) Regulatory protein	SO:0001217, UniRef:UniRef50_A0A654XPC9, UniRef:UniRef90_A0A654XPC9
contig_1	cds	66688	68196	+	LCCHNM_00395	glpK	glycerol kinase GlpK	COG:C, COG:COG0554, EC:2.7.1.30, GO:0004370, GO:0005524, GO:0006071, GO:0006072, GO:0016310, GO:0019563, KEGG:K00864, SO:0001217, UniRef:UniRef50_O34153, UniRef:UniRef90_A3CPV3
contig_1	cds	68238	70064	+	LCCHNM_00400	glpO	type 1 glycerol-3-phosphate oxidase	COG:C, COG:COG0578, EC:1.1.3.21, GO:0004368, GO:0004369, GO:0005886, GO:0006071, GO:0006072, GO:0006650, GO:0009331, SO:0001217, UniRef:UniRef50_O86963, UniRef:UniRef90_P35596
contig_1	cds	70138	70842	+	LCCHNM_00405	glpF	Glycerol uptake facilitator protein	COG:COG0580, COG:G, GO:0005886, GO:0015254, GO:0015793, RefSeq:WP_000980824.1, SO:0001217, UniParc:UPI0001E54D31, UniRef:UniRef100_A0A081PZ58, UniRef:UniRef50_P18156, UniRef:UniRef90_P0A3Q8
contig_1	cds	71245	72399	+	LCCHNM_00410	dltB	D-alanyl-lipoteichoic acid biosynthesis protein DltB	SO:0001217, UniRef:UniRef50_A0A428G7S0, UniRef:UniRef90_A0A428G7S0
contig_1	cds	72447	73619	+	LCCHNM_00415	dltD	D-alanyl-lipoteichoic acid biosynthesis protein DltD	KEGG:K03740, SO:0001217, UniRef:UniRef50_K1A7Z5, UniRef:UniRef90_K1A7Z5
contig_1	cds	74216	75766	+	LCCHNM_00420		D-alanine--D-alanyl carrier protein ligase	SO:0001217, UniRef:UniRef50_Q99ZA6
contig_1	cds	75763	77007	+	LCCHNM_00425		Teichoic acid D-alanyltransferase	SO:0001217, UniRef:UniRef50_Q5M4V4
contig_1	cds	77021	77260	+	LCCHNM_00430	dltC	D-alanine--poly(phosphoribitol) ligase subunit DltC	COG:COG0236, COG:I, GO:0005737, GO:0036370, GO:0070395, GO:0071555, RefSeq:WP_000351967.1, SO:0001217, UniParc:UPI0000051B59, UniRef:UniRef100_Q04HZ9, UniRef:UniRef50_O70055, UniRef:UniRef90_Q04HZ9
contig_1	cds	77253	78458	+	LCCHNM_00435	dltD	D-alanyl-lipoteichoic acid biosynthesis protein DltD	SO:0001217, UniRef:UniRef50_Q8DN13, UniRef:UniRef90_F9P2C1
contig_1	cds	78738	80090	+	LCCHNM_00440		Putative dTDP-4-dehydrorhamnose 3,5-epimerase domain protein	SO:0001217, UniRef:UniRef50_A0A081S9Z2, UniRef:UniRef90_A0A081S9Z2
contig_1	cds	80077	80850	+	LCCHNM_00445		Glycosyl transferase family 11	SO:0001217, UniRef:UniRef50_C5NUQ0, UniRef:UniRef90_A0A380KUE5
contig_1	cds	80872	81867	+	LCCHNM_00450	rfbB	dTDP-glucose 4,6-dehydratase	SO:0001217, UniRef:UniRef50_A1R9E7, UniRef:UniRef90_A0A0F2DYD9
contig_1	cds	81899	83485	+	LCCHNM_00455	epsE	Glycosyltransferase EpsE	SO:0001217, UniRef:UniRef50_A0A428D2V4, UniRef:UniRef90_A0A564TXT5
contig_1	cds	83489	84739	+	LCCHNM_00460		Glycosyltransferase	SO:0001217, UniRef:UniRef50_C5NWL5, UniRef:UniRef90_S7YZZ9
contig_1	cds	84836	89830	+	LCCHNM_00465		GRAM-POS-ANCHORING domain-containing protein	SO:0001217, UniRef:UniRef50_R0LK34, UniRef:UniRef90_R0LK34
contig_1	cds	90219	92888	+	LCCHNM_00470	polA	DNA polymerase I	COG:COG0749, COG:L, EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006261, GO:0006302, GO:0008408, SO:0001217, UniRef:UniRef50_P59200, UniRef:UniRef90_P59200
contig_1	cds	92973	93410	+	LCCHNM_00475	yccU	putative CoA-binding protein	COG:COG1832, COG:R, SO:0001217, UniRef:UniRef50_A9QSK9, UniRef:UniRef90_F2QG88
contig_1	cds	93592	94602	-	LCCHNM_00480	yeiH	UPF0324 membrane protein spr0034	COG:COG2855, COG:S, GO:0005886, SO:0001217, UniRef:UniRef50_Q8DRN6, UniRef:UniRef90_Q8DRN6
contig_1	cds	94943	96112	+	LCCHNM_00485	aspB	pyridoxal phosphate-dependent aminotransferase	COG:COG0436, COG:E, SO:0001217, UniRef:UniRef50_A8AU92, UniRef:UniRef90_A0A3R9MSA2
contig_1	cds	96109	96879	+	LCCHNM_00490	recO	DNA repair protein RecO	COG:COG1381, COG:L, GO:0006302, GO:0006310, GO:0043590, RefSeq:WP_125451626.1, SO:0001217, UniParc:UPI000F66A6EE, UniRef:UniRef100_A0A428DX84, UniRef:UniRef50_Q8DWM0, UniRef:UniRef90_Q04N32
contig_1	cds	96895	97869	+	LCCHNM_00495	plsX	phosphate acyltransferase PlsX	COG:COG0416, COG:I, EC:2.3.1.274, GO:0005737, GO:0006633, GO:0008654, GO:0043811, KEGG:K03621, SO:0001217, UniRef:UniRef50_Q044F9, UniRef:UniRef90_Q04N31
contig_1	cds	97875	98111	+	LCCHNM_00500		Acyl carrier protein	RefSeq:WP_020902253.1, SO:0001217, UniParc:UPI00035A3B1D, UniRef:UniRef100_A0A1X1KIZ2, UniRef:UniRef50_Q9F7T4, UniRef:UniRef90_E0Q3Z1
contig_1	cds	98333	98521	+	LCCHNM_00505		Bacteriocin immunity protein	RefSeq:WP_033680983.1, SO:0001217, UniParc:UPI0004D4803A, UniRef:UniRef100_A0A0E2P928, UniRef:UniRef50_E0PNB5, UniRef:UniRef90_A0A0F2DM82
contig_1	cds	98680	100833	+	LCCHNM_00510	comA	Transport/processing ATP-binding protein ComA	COG:COG2274, COG:V, EC:3.4.22.-, EC:7.4.2.-, GO:0005524, GO:0005886, GO:0006508, GO:0008234, GO:0030420, GO:0034040, GO:0042626, GO:0043214, GO:0055085, SO:0001217, UniRef:UniRef50_Q00564, UniRef:UniRef90_Q03727
contig_1	cds	100846	102195	+	LCCHNM_00515	comB	Transport protein ComB	GO:0005886, GO:0030420, KEGG:K12293, SO:0001217, UniRef:UniRef50_P36498, UniRef:UniRef90_P36498
contig_1	cds	102365	103072	+	LCCHNM_00520	purC	phosphoribosylaminoimidazolesuccinocarboxamide synthase	COG:COG0152, COG:F, EC:6.3.2.6, GO:0004639, GO:0005524, GO:0006189, GO:0009236, SO:0001217, UniRef:UniRef50_Q9A1Z3, UniRef:UniRef90_Q07296
contig_1	cds	103129	106854	+	LCCHNM_00525	purL2	phosphoribosylformylglycinamidine synthase	COG:COG0047, COG:F, SO:0001217, UniRef:UniRef50_A0A0H3BWZ0, UniRef:UniRef90_F2QGA0
contig_1	cds	106867	108309	+	LCCHNM_00530	purF	amidophosphoribosyltransferase	COG:COG0034, COG:F, SO:0001217, UniRef:UniRef50_Q5HQA0, UniRef:UniRef90_A0A3S4M923
contig_1	cds	108346	109368	+	LCCHNM_00535	purM	Phosphoribosylaminoimidazole (AIR) synthetase	COG:COG0150, COG:F, SO:0001217, UniRef:UniRef50_Q8Y6C3, UniRef:UniRef90_F3UUF3
contig_1	cds	109365	109910	+	LCCHNM_00540	purN	phosphoribosylglycinamide formyltransferase	COG:COG0299, COG:F, SO:0001217, UniRef:UniRef50_I0SC05, UniRef:UniRef90_A0A0T9HB87
contig_1	cds	109911	110084	+	LCCHNM_00545		Bacteriocin immunity protein	SO:0001217, UniRef:UniRef50_A0A139RID5
contig_1	cds	110111	111658	+	LCCHNM_00550	purH	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	COG:COG0138, COG:F, EC:2.1.2.3, EC:3.5.4.10, GO:0003937, GO:0004643, GO:0006189, KEGG:K00602, SO:0001217, UniRef:UniRef50_Q8DWK8, UniRef:UniRef90_Q97T99
contig_1	cds	111779	113044	+	LCCHNM_00555	purD	Phosphoribosylamine--glycine ligase	COG:COG0151, COG:F, EC:6.3.4.13, GO:0004637, GO:0005524, GO:0006189, GO:0009113, GO:0046872, SO:0001217, UniRef:UniRef50_Q9A1Y7, UniRef:UniRef90_Q8DRM0
contig_1	cds	113293	113781	+	LCCHNM_00560	purE	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	COG:COG0041, COG:F, EC:5.4.99.18, KEGG:K01588, SO:0001217, UniRef:UniRef50_Q9KVT7, UniRef:UniRef90_E8K206
contig_1	cds	113768	114859	+	LCCHNM_00565	purK	5-(carboxyamino)imidazole ribonucleotide synthase	COG:COG0026, COG:F, SO:0001217, UniRef:UniRef50_Q8DRL8, UniRef:UniRef90_Q8DRL8
contig_1	cds	114869	115096	+	LCCHNM_00570		Phosphoribosylaminoimidazole carboxylase ATPase subunit	SO:0001217, UniRef:UniRef50_J1SHQ0, UniRef:UniRef90_E8JW17
contig_1	cds	115160	116455	+	LCCHNM_00575	purB	adenylosuccinate lyase	COG:COG0015, COG:F, EC:4.3.2.2, GO:0004018, GO:0006189, GO:0044208, GO:0070626, SO:0001217, UniRef:UniRef50_O66856, UniRef:UniRef90_P72478
contig_1	cds	116666	117382	-	LCCHNM_00580		HTH gntR-type domain-containing protein	RefSeq:WP_125455959.1, SO:0001217, UniParc:UPI000F66C68E, UniRef:UniRef100_A0A428ED70, UniRef:UniRef50_S0RGL3, UniRef:UniRef90_D3H689
contig_1	cds	117702	119489	+	LCCHNM_00585	ganA	Beta-galactosidase GanA	COG:COG1874, COG:G, SO:0001217, UniRef:UniRef50_I1ZJ51, UniRef:UniRef90_D3H690
contig_1	cds	119486	119962	+	LCCHNM_00590	agaB	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB	COG:COG3444, COG:G, RefSeq:WP_000156970.1, SO:0001217, UniParc:UPI0002180AA4, UniRef:UniRef100_A0A081QIS2, UniRef:UniRef50_A0A0F2CEB8, UniRef:UniRef90_A0A081QIS2
contig_1	cds	119989	120894	+	LCCHNM_00595	manY	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IIC component	COG:COG3715, COG:G, RefSeq:WP_023944066.1, SO:0001217, UniParc:UPI0003D2FC93, UniRef:UniRef100_A0A1X1KWM7, UniRef:UniRef50_A0A2A7SPS1, UniRef:UniRef90_A0A081QK52
contig_1	cds	120881	121705	+	LCCHNM_00600	manZ	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IID component	COG:COG3716, COG:G, RefSeq:WP_143952613.1, SO:0001217, UniParc:UPI0010DFEF31, UniRef:UniRef100_A0A4U9ZG46, UniRef:UniRef50_A0A123T8U0, UniRef:UniRef90_A0A081QK53
